Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
FL,33.63,Call,57.50,01/15/21,317,0.40,0.53,0.65,0.55,850,287,2.96,39.33%,03/04/20
TSLA,749.5,Call,755.00,03/06/20,2,13.35,15.18,17.00,15.85,2006,680,2.95,83.02%,03/04/20
AAPL,302.74,Put,295.00,03/06/20,2,1.68,1.76,1.84,1.76,15270,5174,2.95,52.66%,03/04/20
SPCE,23.76,Call,24.00,03/06/20,2,0.95,1.03,1.10,1.00,1402,478,2.93,158.19%,03/04/20
EBAY,38.49,Call,38.50,03/06/20,2,0.10,0.39,0.67,0.42,533,183,2.91,37.23%,03/04/20
SAVE,26.34,Put,20.00,03/20/20,16,0.25,0.33,0.40,0.35,701,241,2.91,115.63%,03/04/20
CAR,28.91,Put,28.00,01/15/21,317,5.70,5.9,6.10,5.70,625,216,2.89,61.14%,03/04/20
HTZ,11.45,Put,9.00,07/17/20,135,0.95,1,1.05,1.00,4875,1689,2.89,82.47%,03/04/20
DIS,119.18,Put,116.00,03/13/20,9,1.34,1.58,1.81,1.60,626,220,2.85,39.87%,03/04/20
AMZN,1975.83,Call,1970.00,03/06/20,2,21.55,23.53,25.50,22.45,1962,689,2.85,33.12%,03/04/20
ZM,116.8,Put,125.00,01/15/21,317,31.00,32.25,33.50,31.50,546,195,2.8,64.13%,03/04/20
EA,111.83,Call,112.00,03/06/20,2,0.72,1.05,1.37,1.31,855,305,2.8,42.01%,03/04/20
CM,77.46,Call,80.00,09/18/20,198,1.75,1.9,2.05,1.85,758,272,2.79,11.56%,03/04/20
TWTR,36,Call,34.00,03/13/20,9,2.38,2.46,2.53,2.32,547,197,2.78,46.05%,03/04/20
NVAX,11.32,Call,12.50,03/06/20,2,0.20,0.45,0.70,0.50,664,240,2.77,278.96%,03/04/20
AAPL,302.74,Put,295.00,03/13/20,9,4.50,4.68,4.85,4.80,4591,1655,2.77,43.46%,03/04/20
GM,31.53,Call,31.50,03/13/20,9,0.57,0.61,0.64,0.60,629,228,2.76,29.30%,03/04/20
WBA,48.69,Call,48.00,03/06/20,2,0.89,1.13,1.36,1.15,527,192,2.74,52.71%,03/04/20
JPM,119.85,Call,116.00,03/06/20,2,4.40,4.65,4.90,4.40,644,236,2.73,53.67%,03/04/20
AAPL,302.74,Call,307.50,03/06/20,2,1.76,1.86,1.95,1.89,20231,7407,2.73,42.13%,03/04/20
IMMU,17.16,Call,19.00,03/20/20,16,0.20,0.35,0.50,0.30,748,275,2.72,62.73%,03/04/20
BAC,28.39,Put,26.00,09/18/20,198,1.64,1.67,1.69,1.83,1062,391,2.72,37.34%,03/04/20
WEN,20.05,Call,21.00,03/20/20,16,0.25,0.28,0.30,0.30,1318,489,2.7,38.85%,03/04/20
NVDA,284.51,Call,285.00,03/06/20,2,5.20,5.35,5.50,5.35,5306,1968,2.7,66.35%,03/04/20
GM,31.53,Call,31.50,03/06/20,2,0.23,0.26,0.28,0.28,3118,1157,2.69,28.29%,03/04/20
URBN,21.4,Put,21.00,03/06/20,2,0.20,0.28,0.35,0.30,697,260,2.68,75.74%,03/04/20
NVDA,284.51,Call,290.00,03/06/20,2,3.00,3.05,3.10,2.90,7217,2704,2.67,61.07%,03/04/20
FOXA,30.93,Put,29.00,03/20/20,16,0.35,0.43,0.50,0.45,1065,400,2.66,47.09%,03/04/20
SQ,79.26,Call,79.00,03/06/20,2,1.36,1.51,1.66,1.45,1337,505,2.65,56.15%,03/04/20
RCL,79.36,Put,65.00,09/18/20,198,7.70,8.1,8.50,8.75,505,191,2.64,72.39%,03/04/20
GIS,54.17,Put,42.50,07/17/20,135,0.41,0.62,0.83,0.65,626,237,2.64,35.74%,03/04/20
EBAY,38.49,Call,47.00,01/15/21,317,0.85,1.65,2.45,1.30,739,281,2.63,25.97%,03/04/20
GM,31.53,Call,32.00,04/17/20,44,1.03,1.23,1.44,1.03,2409,915,2.63,27.82%,03/04/20
MGM,23.3,Put,27.00,04/17/20,44,4.35,4.48,4.60,4.70,15840,6066,2.61,70.97%,03/04/20
BYND,101.89,Call,111.00,03/06/20,2,0.10,0.22,0.34,0.40,652,251,2.6,94.64%,03/04/20
CCL,32.46,Put,30.50,03/06/20,2,0.20,0.28,0.35,0.30,1347,518,2.6,106.10%,03/04/20
C,67.39,Call,75.00,04/17/20,44,0.51,0.54,0.58,0.55,5447,2091,2.6,29.03%,03/04/20
COST,320.74,Put,295.00,03/06/20,2,0.65,0.95,1.25,0.69,1388,536,2.59,81.26%,03/04/20
LYFT,40.27,Put,38.00,03/06/20,2,0.28,0.32,0.36,0.35,608,236,2.58,99.15%,03/04/20
